Latitude;Longitude
25.07969;121.3859438
25.1458499;121.4008295
25.1440043;121.3980602
25.1529524;121.4116394
25.1145953;121.4583872
25.1145953;121.4583872
25.1567762;121.4361223
25.1413455;121.4481093
25.2616914;121.5027135
25.2611271;121.5027222
25.2573697;121.5013127
25.259456;121.477271
25.0753707;121.4894946
25.0708381;121.4753284
25.0716353;121.4742222
25.0433717;121.4706126
25.0769728;121.4887804
25.077081;121.488913
25.079472;121.49095
25.0719035;121.4926345
25.0587144;121.4893995
25.0615697;121.4929945
25.0468178;121.4723433
25.0446345;121.4687247
25.0439782;121.4680859
25.0886759;121.492925
25.0830938;121.4874178
24.9209516;121.3702179
24.914863;121.366292
24.9099133;121.3655766
24.9333461;121.3752693
24.9333461;121.3752693
24.9333461;121.3752693
24.9413767;121.3977603
24.9427284;121.4002823
24.9391847;121.3660679
24.93488;121.4016522
24.991566;121.448764
24.9742145;121.4406406
24.9657912;121.432121
24.965666;121.4317127
24.9680539;121.4382474
24.9617019;121.422754
24.96266;121.424573
24.9884929;121.4460527
24.9790064;121.4398706
24.979457;121.4394412
24.995914;121.4560361
24.972205;121.434537
24.9882643;121.4695509
24.9907974;121.4734543
25.0054439;121.5047095
25.0053652;121.4838229
25.0055327;121.476724
25.0099902;121.4803417
25.0040221;121.484806
25.0039526;121.4849904
24.9995379;121.505809
24.9994871;121.5078548
25.0039794;121.4877834
24.9986916;121.4856275
25.000381;121.4921437
24.9939257;121.4675108
24.9917286;121.476739
25.0001129;121.4964315
24.9923932;121.5119066
25.005755;121.49258
25.0068824;121.4944848
25.005498;121.4892586
25.082542;121.439
25.0777557;121.4355962
25.0777557;121.4355962
25.0871209;121.4404844
25.0767567;121.4379668
25.0777199;121.4375158
25.0815226;121.4407614
25.0862241;121.4425378
25.0036035;121.5115294
25.0043439;121.5123313
25.0049763;121.5196697
25.2915676;121.5655949
25.0098662;121.6452827
25.0098662;121.6452827
25.0565744;121.632098
25.0565744;121.632098
25.0565744;121.632098
25.0630685;121.6478639
25.074412;121.674181
25.0750678;121.6744578
25.0728919;121.6830796
25.091781;121.642862
25.068863;121.634138
25.0675498;121.6180549
25.0673217;121.6177247
25.0564206;121.635567
25.0564206;121.635567
25.0662456;121.670685
25.0683785;121.6835098
24.9356736;121.7049834
25.0200984;121.4790563
25.0115625;121.479036
25.0193864;121.4806827
25.028544;121.4714923
24.9950533;121.453337
25.0223463;121.4691639
25.0089616;121.4640005
24.9903256;121.4606749
25.0233453;121.4602482
24.9921129;121.431379
25.0227031;121.4491867
25.0774794;121.3969745
25.0781825;121.3954785
25.0724101;121.3697408
25.0904176;121.3835367
25.0835082;121.3775381
25.0733054;121.3669613
25.0807748;121.3981356
25.224885;121.6337259
25.2247415;121.630347
25.0569777;121.4360928
25.0644877;121.427016
25.0575183;121.4354787
25.0741508;121.4365939
25.0741508;121.4365939
25.0514239;121.4389443
25.0323848;121.4195356
25.0638612;121.4385202
25.0634081;121.4369458
25.0245409;121.9715154
25.0687653;121.9240052
25.010528;121.98863
25.0107385;121.9889732
25.0185637;121.9334012
25.168715;121.4454951
25.1657275;121.4487202
25.1404462;121.460126
25.1335615;121.4588693
25.1644055;121.4569777
25.1646446;121.4580692
25.167163;121.4607974
25.1920817;121.4463098
25.2142409;121.4507561
25.2252693;121.4521565
24.9987533;121.6064931
24.9979005;121.6128653
25.0008763;121.609214
25.0007285;121.6105644
24.9804253;121.5337306
24.9806901;121.534168
24.9790934;121.5444041
24.9713158;121.5425806
24.9781203;121.5421072
24.9717483;121.5190639
24.974459;121.518834
24.9813938;121.5173408
24.963133;121.5140801
24.963133;121.5140801
24.963133;121.5140801
24.963133;121.5140801
24.9577049;121.5041703
24.9573863;121.5015908
24.9400865;121.4710046
24.9635347;121.5155179
24.9164311;121.5475048
24.9674965;121.5371341
24.97757;121.5491423
25.0348314;121.4453277
25.0332709;121.4405737
25.028354;121.4197262
25.0479047;121.4526368
25.0631313;121.4586901
25.06475;121.456031
25.061795;121.451072
25.0083919;121.4309137
25.027198;121.4341007
25.0397727;121.4597086
25.0446175;121.4603674
25.04145;121.459534
25.0446746;121.4651683
25.0322803;121.4176319
25.0610173;121.4649403
25.020689;121.4342168
25.0069136;121.4326052
25.0521695;121.4680023
25.1103456;121.7947752
25.1029435;121.7853304
25.1069124;121.8014749
25.121529;121.8286
25.1239715;121.831093
25.120687;121.822299
25.2157045;121.6444248
25.214719;121.644585
25.19549147721792;121.6888154233399
24.9716207;121.4155721
25.0144623;121.3950294
25.0016309;121.4262649
24.9961322;121.4212601
25.004714;121.4303147
24.9840091;121.4118889
24.9728381;121.3951994
25.0009471;121.4249459
25.001387;121.4251897
25.0089619;121.416202
25.008775;121.4155139
24.9840394;121.4251325
24.980662;121.412142
24.9841383;121.4256851
24.980203;121.414181
24.9818331;121.4201032
24.9623788;121.3916527
24.9460652;121.3853078
24.9551783;121.3884958
25.0134009;121.4239637
25.0178225;121.418698
24.9569403;121.3985719
24.9995199;121.430115
25.0934514;121.4616011
25.0853572;121.4731219
25.0772993;121.4693156
25.0767272;121.4690786
25.0771528;121.4688293
24.9476188;121.3402344
24.9409246;121.356593
24.9409246;121.356593
24.9573941;121.3541855
24.9567007;121.3642812
24.950327;121.352077
24.9463574;121.3527388
24.9641962;121.3333897
24.9529349;121.3408237
